"Project","Compound.Name","Abbreviation","CAS","CID","MolecularFormula","MolecularWeight","CanonicalSMILES","IUPACName","XLogP","MonoisotopicMass","TPSA","Charge","Volume3D"
"4","Chlorophenol","CP","95-57-8",7245,"C6H5ClO",128.55,"C1=CC=C(C(=C1)O)Cl","2-chlorophenol",2.1,128.002893,20.2,0,94.6
"4","Bromoindole","BI","139409-34-0",11805631,"C8H6BrN",196.04,"C1=CC=C2C(=C1)C=C(N2)Br","2-bromo-1H-indole",3.5,194.96836,15.8,0,119.1
"4","Chloroindole","CI","53924-05-3",104644,"C8H6ClN",151.59,"C1=CC2=C(C(=C1)Cl)NC=C2","7-chloro-1H-indole",3.4,151.018877,15.8,0,112.8
"4","Bromobenzoic acid","BBA","88-65-3",6940,"C7H5BrO2",201.02,"C1=CC=C(C(=C1)C(=O)O)Br","2-bromobenzoic acid",2.2,199.94729,37.3,0,120
"4","Chlorobenzoic acid","CBA","118-91-2",8374,"C7H5ClO2",156.56,"C1=CC=C(C(=C1)C(=O)O)Cl","2-chlorobenzoic acid",2.1,155.997807,37.3,0,113.3
"example","Perfluorobutanesulfonic acid","PFBS","375-73-5",67815,"C4HF9O3S",300.1,"C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F","1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonic acid",2.3,299.950269,62.8,0,155.8
"example","Perfluorodecane sulfonic acid","PFDS","335-77-3",67636,"C10HF21O3S",600.15,"C(C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F","1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-henicosafluorodecane-1-sulfonic acid",6.4,599.931107,62.8,0,NA
"example","Perfluoroheptanesulfonic acid","PFHpS","375-92-8",67820,"C7HF15O3S",450.12,"C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F","1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoroheptane-1-sulfonic acid",4.3,449.940688,62.8,0,230
"example","Perfluoroheptanoic acid","PFHpA","375-85-9",67818,"C7HF13O2",364.06,"C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","2,2,3,3,4,4,5,5,6,6,7,7,7-tridecafluoroheptanoic acid",4.3,363.976895,37.3,0,186.7
"example","Perfluorononanoic acid","PFNA","375-95-1",67821,"C9HF17O2",464.08,"C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluorononanoic acid",5.6,463.970508,37.3,0,234.6
"example","Perfluorooctanoic acid","PFOA","335-67-1",9554,"C8HF15O2",414.07,"C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoic acid",4.9,413.973702,37.3,0,209
"example","Perfluorotetradecanoic acid","PFTeDA","376-06-7",67822,"C14HF27O2",714.11,"C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-heptacosafluorotetradecanoic acid",9,713.95454,37.3,0,348.1
